oss,xdate,SITE_ID,yesterdayName,todayName,cellname,MRBTS,lnbts,LNCEL,earfcnDL,dlchbw,pMax,remark
KLM,2019-09-04,18PLK024,E_PASAR_KAHAYAN1,E_PASAR_KAHAYAN1_O_XYX,E_PASAR_KAHAYAN1_O_XYX,72623,72623,1,476,50,430,newXYX
KLM,2019-09-04,18PLK024,E_PASAR_KAHAYAN2,E_PASAR_KAHAYAN2_O_XYX,E_PASAR_KAHAYAN2_O_XYX,72623,72623,2,476,50,430,newXYX
KLM,2019-09-04,18PLK024,E_PASAR_KAHAYAN3,E_PASAR_KAHAYAN3_O_XYX,E_PASAR_KAHAYAN3_O_XYX,72623,72623,3,476,50,430,newXYX
KLM,2019-09-04,17BJM036,L_HBI1,L_HBI1_O_XYX,L_HBI1_O_XYX,73013,73013,1,1625,200,460,newXYX
KLM,2019-09-04,17BJM036,L_HBI2,L_HBI2_O_XYX,L_HBI2_O_XYX,73013,73013,2,1625,200,460,newXYX
KLM,2019-09-04,17BJM036,L_HBI3,L_HBI3_O_XYX,L_HBI3_O_XYX,73013,73013,3,1625,200,460,newXYX
KLM,2019-09-04,17BJM036,_L_HBI7,_L_HBI7_O_XYX,_L_HBI7_O_XYX,73180,73180,7,1625,200,460,newXYX
KLM,2019-09-04,17MRB013,L_BERANGAS_BARAT_KN1_O_XXX,L_BERANGAS_BARAT_KN1_O_XYX,L_BERANGAS_BARAT_KN1_O_XYX,73262,73262,1,1625,150,448,newXYX
KLM,2019-09-04,17MRB013,L_BERANGAS_BARAT_KN2_O_XXX,L_BERANGAS_BARAT_KN2_O_XYX,L_BERANGAS_BARAT_KN2_O_XYX,73262,73262,2,1625,150,448,newXYX
KLM,2019-09-04,17MRB013,L_BERANGAS_BARAT_KN3_O_XXX,L_BERANGAS_BARAT_KN3_O_XYX,L_BERANGAS_BARAT_KN3_O_XYX,73262,73262,3,1625,150,448,newXYX
KLM,2019-09-04,17KBA013,L_SEMAYAP_KOTABARU_KN1,L_SEMAYAP_KOTABARU_KN1_O_XYX,L_SEMAYAP_KOTABARU_KN1,73266,73266,1,1625,150,430,newXYX
KLM,2019-09-04,17KBA013,L_SEMAYAP_KOTABARU_KN2,L_SEMAYAP_KOTABARU_KN2_O_XYX,L_SEMAYAP_KOTABARU_KN2,73266,73266,2,1625,150,430,newXYX
KLM,2019-09-04,17KBA013,L_SEMAYAP_KOTABARU_KN3,L_SEMAYAP_KOTABARU_KN3_O_XYX,L_SEMAYAP_KOTABARU_KN3,73266,73266,3,1625,150,430,newXYX
KLM,2019-09-04,17MTP067,L_CAHAYA_INSAN_IF1_O_XXX,L_CAHAYA_INSAN_IF1_O_XYX,L_CAHAYA_INSAN_IF1_O_XYX,73285,73285,1,1625,150,448,newXYX
KLM,2019-09-04,17MTP067,L_CAHAYA_INSAN_IF2_O_XXX,L_CAHAYA_INSAN_IF2_O_XYX,L_CAHAYA_INSAN_IF2_O_XYX,73285,73285,2,1625,150,448,newXYX
KLM,2019-09-04,17MTP067,L_CAHAYA_INSAN_IF3_O_XXX,L_CAHAYA_INSAN_IF3_O_XYX,L_CAHAYA_INSAN_IF3_O_XYX,73285,73285,3,1625,150,448,newXYX
KLM,2019-09-04,17BRI025,L_BARABAI_SLT_PL1_O_XXX,L_BARABAI_SLT_PL1_O_XYX,L_BARABAI_SLT_PL1_O_XYX,73291,73291,1,1625,150,430,newXYX
KLM,2019-09-04,17BRI025,L_BARABAI_SLT_PL2_O_XXX,L_BARABAI_SLT_PL2_O_XYX,L_BARABAI_SLT_PL2_O_XYX,73291,73291,2,1625,150,430,newXYX
KLM,2019-09-04,17BRI025,L_BARABAI_SLT_PL3_O_XXX,L_BARABAI_SLT_PL3_O_XYX,L_BARABAI_SLT_PL3_O_XYX,73291,73291,3,1625,150,430,newXYX
KLM,2019-09-04,17BRI023,L_DS_MANDINGIN_PL1_O_XXX,L_DS_MANDINGIN_PL1_O_XYX,L_DS_MANDINGIN_PL1_O_XYX,73295,73295,1,1625,150,448,newXYX
KLM,2019-09-04,17BRI023,L_DS_MANDINGIN_PL2_O_XXX,L_DS_MANDINGIN_PL2_O_XYX,L_DS_MANDINGIN_PL2_O_XYX,73295,73295,2,1625,150,448,newXYX
KLM,2019-09-04,17BRI023,L_DS_MANDINGIN_PL3_O_XXX,L_DS_MANDINGIN_PL3_O_XYX,L_DS_MANDINGIN_PL3_O_XYX,73295,73295,3,1625,150,430,newXYX
KLM,2019-09-04,17BJM131,L_TAMAN_SIRING_PL1_O_XXX,L_TAMAN_SIRING_PL1_O_XYX,L_TAMAN_SIRING_PL1_O_XYX,73300,73300,1,1625,200,460,newXYX
KLM,2019-09-04,17BJM131,L_TAMAN_SIRING_PL2_O_XXX,L_TAMAN_SIRING_PL2_O_XYX,L_TAMAN_SIRING_PL2_O_XYX,73300,73300,2,1625,200,460,newXYX
KLM,2019-09-04,17BJM131,L_TAMAN_SIRING_PL3_O_XXX,L_TAMAN_SIRING_PL3_O_XYX,L_TAMAN_SIRING_PL3_O_XYX,73300,73300,3,1625,200,460,newXYX
KLM,2019-09-04,17MTP073,L_TAMBAK_SIRANG_BARU_PL1_O_XXX,L_TAMBAK_SIRANG_BARU_PL1_O_XYX,L_TAMBAK_SIRANG_BARU_PL1_O_XYX,73301,73301,1,1625,150,448,newXYX
KLM,2019-09-04,17MTP073,L_TAMBAK_SIRANG_BARU_PL2_O_XXX,L_TAMBAK_SIRANG_BARU_PL2_O_XYX,L_TAMBAK_SIRANG_BARU_PL2_O_XYX,73301,73301,2,1625,150,448,newXYX
KLM,2019-09-04,17MTP073,L_TAMBAK_SIRANG_BARU_PL3_O_XXX,L_TAMBAK_SIRANG_BARU_PL3_O_XYX,L_TAMBAK_SIRANG_BARU_PL3_O_XYX,73301,73301,3,1625,150,448,newXYX
KLM,2019-09-04,17MTP074,L_RANTAU_NANGKA_ST1_O_XXX,L_RANTAU_NANGKA_ST1_O_XYX,L_RANTAU_NANGKA_ST1_O_XYX,73302,73302,1,1625,150,448,newXYX
KLM,2019-09-04,17MTP074,L_RANTAU_NANGKA_ST2_O_XXX,L_RANTAU_NANGKA_ST2_O_XYX,L_RANTAU_NANGKA_ST2_O_XYX,73302,73302,2,1625,150,448,newXYX
