oss,xdate,SITE_ID,yesterdayName,todayName,RNC,WBTS,WCEL,IPNBId,PtxCellMax,MBLBStateTransEnabled,Remark
JAV,2019-09-04,14SMG231,U_TIRANGTAPAK_IB2,U_TIRANGTAPAK_IB2_O_XYX,1140,3347,20178,3347,460,1,newXYX
JAV,2019-09-04,14SMG231,U_TIRANGTAPAK_IB3,U_TIRANGTAPAK_IB3_O_XYX,1140,3347,20179,3347,460,1,newXYX
JAV,2019-09-04,14SMG231,U_TIRANGTAPAK_IB4,U_TIRANGTAPAK_IB4_O_XYX,1140,3347,36194,3347,460,1,newXYX
JAV,2019-09-04,14SMG231,U_TIRANGTAPAK_IB5,U_TIRANGTAPAK_IB5_O_XYX,1140,3347,36195,3347,460,1,newXYX
JAV,2019-09-04,14SMG231,U_TIRANGTAPAK_IB6,U_TIRANGTAPAK_IB6_O_XYX,1140,3347,36196,3347,460,1,newXYX
JAV,2019-09-04,14UNR088,U_UNGARAN_TB1,U_UNGARAN_TB1_O_XYX,1140,3348,20187,3348,478,1,newXYX
JAV,2019-09-04,14UNR088,U_UNGARAN_TB2,U_UNGARAN_TB2_O_XYX,1140,3348,20188,3348,478,1,newXYX
JAV,2019-09-04,14UNR088,U_UNGARAN_TB3,U_UNGARAN_TB3_O_XYX,1140,3348,20189,3348,478,1,newXYX
JAV,2019-09-04,14UNR088,U_UNGARAN_TB4,U_UNGARAN_TB4_O_XYX,1140,3348,36014,3348,460,1,newXYX
JAV,2019-09-04,14UNR088,U_UNGARAN_TB5,U_UNGARAN_TB5_O_XYX,1140,3348,36015,3348,460,1,newXYX
JAV,2019-09-04,14UNR088,U_UNGARAN_TB6,U_UNGARAN_TB6_O_XYX,1140,3348,36016,3348,460,1,newXYX
JAV,2019-09-04,14UNR087,U_LEYANGAN_ST1,U_LEYANGAN_ST1_O_XYX,1140,3349,20197,3349,460,1,newXYX
JAV,2019-09-04,14UNR087,U_LEYANGAN_ST2,U_LEYANGAN_ST2_O_XYX,1140,3349,20198,3349,460,1,newXYX
